Pulsar,ObservationID,ATNF Period (s),ATNF DM,Bextprof DM,Bestprof sigma,Bestprof location,Plot location,Archive locaion,Flux Density (mJy),Flux Density Uncertainty (mJy),SN,SN Uncertainty,Predicted SN,Predicted SN Uncertainty,Searched Bool,Search offset (deg),Search Bestprof location,Search Bestprof sigma,Search SN,Search SN Uncertainty
J0636-4549,1257617424,1.98459736713,26.31,25.830,8.9,/astro/mwavcs/vcs/1257617424/dpp/1257617424_J0636-4549/pf_1257617424_J0636-4549_06:36:33.74_-45:49:32.62_b100_1984.60ms_Cand.pfd.bestprof,/astro/mwavcs/vcs/1257617424/dpp/1257617424_J0636-4549/pf_1257617424_J0636-4549_06:36:33.74_-45:49:32.62_b100_1984.60ms_Cand.pfd.png,,18.664,7.396,14.341006250665775,3.380207589628145,,,,,,,,
J0636-4549,1258221008,1.98459736713,26.31,26.310,36.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1258221008/1258221008_J0636-4549.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1258221008/1258221008_J0636-4549.prepfold.ps,,18.576,5.769,7.124431334332995,0.7124431334332995,,,,,,,,
J0702-4956,1257617424,0.6659935900128262,98.7,92.013,6.3,/astro/mwavcs/vcs/1257617424/dpp/1257617424_J0702-4956/pf_1257617424_J0702-4956_07:02:39.30_-49:56:34.20_b100_665.99ms_Cand.pfd.bestprof,/astro/mwavcs/vcs/1257617424/dpp/1257617424_J0702-4956/pf_1257617424_J0702-4956_07:02:39.30_-49:56:34.20_b100_665.99ms_Cand.pfd.png,,15.502,4.943,9.761917307323646,2.3009059751302914,,,,,,,,
J0729-1448,1266155952,0.251658714180918,91.89,91.962,23.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266155952/1266155952_J0729-1448.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266155952/1266155952_J0729-1448.prepfold.ps,/astro/mwavcs/vcs/1266155952/dpp/1266155952_J0729-1448/1266155952_J0729-1448_archive.ar,63.794,10.952,12.85710075510999,1.8182686260673908,,,,,,,,
J0729-1836,1261241272,0.5101603448262563,61.293,61.293,7.7,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1261241272/1261241272_J0729-1836.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1261241272/1261241272_J0729-1836.prepfold.ps,,41.936,9.527,13.042905312535236,3.0742422642892375,,,,,,,,
J0729-1836,1266155952,0.5101603448262563,61.293,61.318,18.6,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266155952/1266155952_J0729-1836.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266155952/1266155952_J0729-1836.prepfold.ps,,72.186,11.044,12.366745263612458,1.7489218874213972,,,,,,,,
J0737-3039A,1258221008,0.022699378599623916,48.92,48.920,21.9,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1258221008/1258221008_J0737-3039A.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1258221008/1258221008_J0737-3039A.prepfold.ps,,144.221,22.33,16.433740298294463,3.873469735060884,,,,,,,,
J0737-3039A,1261241272,0.022699378599623916,48.92,48.920,30.8,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1261241272/1261241272_J0737-3039A.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1261241272/1261241272_J0737-3039A.prepfold.ps,,172.913,27.564,22.159443081841104,5.2230308234957254,,,,,,,,
J0742-2822,1261241272,0.16676229157216363,73.728,73.728,130.6,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1261241272/1261241272_J0742-2822.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1261241272/1261241272_J0742-2822.prepfold.ps,/astro/mwavcs/vcs/1261241272/dpp/1261241272_J0742-2822/1261241272_J0742-2822_archive.ar,493.411,25.372,23.348235280668458,1.6427761017263505,,,,,,,,
J0742-2822,1265983624,0.16676229157216363,73.728,73.887,15.3,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265983624/1265983624_J0742-2822.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265983624/1265983624_J0742-2822.prepfold.ps,/astro/mwavcs/vcs/1265983624/dpp/1265983624_J0742-2822/1265983624_J0742-2822_archive.ar,64.019,8.898,7.117801173722375,1.0066090954153317,,,,,,,,
J0742-2822,1266155952,0.16676229157216363,73.728,73.790,0.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266155952/1266155952_J0742-2822.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266155952/1266155952_J0742-2822.prepfold.ps,/astro/mwavcs/vcs/1266155952/dpp/1266155952_J0742-2822/1266155952_J0742-2822_archive.ar,225.544,14.36,13.109262034840318,0.9223644580939677,,,,,,,,
J0742-2822,1265470568,0.16676229157216363,73.728,73.813,21.3,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265470568/1265470568_J0742-2822.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265470568/1265470568_J0742-2822.prepfold.ps,,361.86,39.9,11.103300976341432,1.5702438827852483,,,,,,,,
J0749-4247,1265983624,1.09545215761,104.595,118.905,6.8,/astro/mwavcs/vcs/1265983624/dpp/1265983624_J0749-4247/pf_1265983624_J0749-4247_07:49:49.67_-42:47:42.14_b100_1095.45ms_Cand.pfd.bestprof,/astro/mwavcs/vcs/1265983624/dpp/1265983624_J0749-4247/pf_1265983624_J0749-4247_07:49:49.67_-42:47:42.14_b100_1095.45ms_Cand.pfd.png,,19.041,8.742,5.465607208631498,1.28825597350847,,,,,,,,
J0758-1528,1266155952,0.6822651758059591,63.327,63.297,26.2,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266155952/1266155952_J0758-1528.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266155952/1266155952_J0758-1528.prepfold.ps,/astro/mwavcs/vcs/1266155952/dpp/1266155952_J0758-1528/1266155952_J0758-1528_archive.ar,38.667,8.797,21.225849702352257,2.1225849702352257,,,,,,,,
J0820-1350,1261241272,1.2381295438681763,40.938,,,,,,,,,,,,,,,,,
J0820-1350,1266155952,1.2381295438681763,40.938,40.988,390.8,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266155952/1266155952_J0820-1350.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1266155952/1266155952_J0820-1350.prepfold.ps,/astro/mwavcs/vcs/1266155952/dpp/1266155952_J0820-1350/1266155952_J0820-1350_archive.ar,410.981,48.424,112.70589303067145,7.929958961301535,,,,,,,,
J0820-1350,1265470568,1.2381295438681763,40.938,40.988,146.8,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265470568/1265470568_J0820-1350.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265470568/1265470568_J0820-1350.prepfold.ps,,196.294,24.327,51.87807580046793,3.6501286758541207,,,,,,,,
J0820-3921,1265983624,1.07356658405,179.4,179.749,8.5,/astro/mwavcs/vcs/1265983624/dpp/1265983624_J0820-3921/pf_1265983624_J0820-3921_08:20:49.11_-39:21:55.70_b100_1073.57ms_Cand.pfd.bestprof,/astro/mwavcs/vcs/1265983624/dpp/1265983624_J0820-3921/pf_1265983624_J0820-3921_08:20:49.11_-39:21:55.70_b100_1073.57ms_Cand.pfd.png,,50.975,11.239,5.761457976212062,1.3579886681669573,,,,,,,,
J0820-4114,1265983624,0.5454455601017385,113.4,113.317,21.9,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265983624/1265983624_J0820-4114.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1265983624/1265983624_J0820-4114.prepfold.ps,/astro/mwavcs/vcs/1265983624/dpp/1265983624_J0820-4114/1265983624_J0820-4114_archive.ar,100.675,9.025,11.107098077881327,1.1107098077881328,,,,,,,,
